sep=;
Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901501309 (Com Gateway SN: 1901501309)
;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;SI 8.0H;Sensorbox;Sensorbox;Sensorbox;Sensorbox;Sensorbox;Sensorbox;Sensorbox;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;STP 15000TL-30;SMA Com Gateway
;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;165023614;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035041;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035046;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;1261035123;14625;14625;14625;14625;14625;14625;14625;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246358;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901246408;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901262903;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901263147;1901501309
;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[B];DcMs.Amp[A1];Env.HorWSpd;Mdul.TmpVal;Env.TmpVal;Env.TotInsol;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;InOut.AnInA1;InOut.AnInA2;InOut.AnInA3;InOut.AnInVol4;Env.ExInsol;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;GridMs.TotW;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;Operation.Health;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;GridMs.TotW;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;Operation.Health;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;GridMs.TotW;GridMs.Hz;GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;Operation.Health;Env.HorWSpd;Mdul.TmpVal;Env.TmpVal;Env.TotInsol;Operation.Health;Env.TmpVal;Mdul.TmpVal;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[B];DcMs.Amp[A1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[B];DcMs.Amp[A1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[B];DcMs.Amp[A1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[B];DcMs.Amp[A1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsB;GridMs.A.phsC;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;Operation.Health
;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Analog;Analog;Analog;Analog;Status;Analog;Analog;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Status
DD.MM.YYYY hh:mm ;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;m/s;°C;°C;W/m²;V;V;V;A;A;A;A;A;A;W;W;;;;;mA;mA;mA;V;W/m²;kWh;;h;W;Hz;V;V;V;A;A;A;A;A;A;;kWh;;h;W;Hz;V;V;V;A;A;A;A;A;A;;kWh;;h;W;Hz;V;V;V;A;A;A;A;A;A;;m/s;°C;°C;W/m²;;°C;°C;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;V;V;V;A;A;A;A;A;A;W;W;;;;;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;V;V;V;A;A;A;A;A;A;W;W;;;;;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;V;V;V;A;A;A;A;A;A;W;W;;;;;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;V;V;V;A;A;A;A;A;A;W;W;;;;;
02.06.2019 00:00;1117,13;133;109,87;107,07;0,00;-575;49,96;;;;;;;;0;7,2;12,6;0;218,66;0;0;1,332;1,332;1,35;1,35;1,35;1,35;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;152,60;-211;49,96;218,71;0;0;0,979;0,979;1,422;1,422;1,893;1,893;Ok;0,10;2;152,60;-202;49,97;218,7;0;0;1,057;1,057;1,529;1,529;0,65;0,65;Ok;0,40;2;152,60;-162;49,96;218,58;0;0;1,962;1,962;1,1;1,1;1,508;1,508;Ok;0;7,2;12,6;0;Ok;12,4;7,1;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
02.06.2019 00:05;1117,13;133;109,87;107,07;0,00;-559;49,94;;;;;;;;0;7,1;12,2;0;218,84;0;0;1,167;1,167;1,246;1,246;1,22;1,22;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;152,70;-209;49,95;218,91;0;0;0,75;0,75;1,336;1,336;1,786;1,786;Ok;0,10;2;152,70;-194;49,94;218,9;0;0;0,829;0,829;1,372;1,372;0,529;0,529;Ok;0,40;2;152,60;-156;49,95;218,71;0;0;1,923;1,923;1,031;1,031;1,346;1,346;Ok;0;7,1;12,2;0;Ok;12,6;7;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
02.06.2019 00:10;1117,13;133;109,87;107,07;0,00;-545;49,91;;;;;;;;0;7;12,7;0;219,19;0;0;1,051;1,051;1,341;1,341;1,218;1,218;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;152,80;-196;49,91;219,14;0;0;0,564;0,564;1,479;1,479;1,757;1,757;Ok;0,10;2;152,70;-196;49,91;219,09;0;0;0,736;0,736;1,5;1,5;0,543;0,543;Ok;0,40;2;152,70;-153;49,92;219,34;0;0;1,854;1,854;1,046;1,046;1,354;1,354;Ok;0;7;12,7;0;Ok;12,7;7;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
02.06.2019 00:15;1117,13;133;109,87;107,07;0,00;-551;49,87;;;;;;;;0;7,1;12,7;0;219,06;0;0;1,183;1,183;1,486;1,486;1,39;1,39;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;152,80;-203;49,86;219,04;0;0;0,729;0,729;1,636;1,636;1,957;1,957;Ok;0,10;2;152,80;-198;49,88;218,99;0;0;0,843;0,843;1,722;1,722;0,729;0,729;Ok;0,40;2;152,80;-150;49,88;219,16;0;0;1,977;1,977;1,1;1,1;1,485;1,485;Ok;0;7,1;12,7;0;Ok;12,6;7,2;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
02.06.2019 00:20;1117,13;133;109,87;107,07;0,00;-558;49,78;;;;;;;;0;7,2;12,5;0;218,8;0;0;1,299;1,299;1,37;1,37;1,418;1,418;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,20;2;152,90;-209;49,79;218,65;0;0;0,907;0,907;1,522;1,522;1,957;1,957;Ok;0,10;2;152,90;-194;49,79;218,68;0;0;1,014;1,014;1,536;1,536;0,722;0,722;Ok;0,40;2;152,90;-155;49,78;219,09;0;0;1,977;1,977;1,054;1,054;1,577;1,577;Ok;0;7,2;12,5;0;Ok;12,3;7,2;925,82;121;82,17;80,04;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
